transaction_id,customer_id,purchase_datetime,product_id,product_name,category,quantity,unit_price,line_total,payment_method,store_branch
TXN00002,CUS0001,2022-08-16 16:26:04,P013,แจ็คเก็ตยีนส์,แจ็คเก็ต,1,1290,1290,บัตรเครดิต,สาขาสยาม
TXN00006,CUS0001,2022-12-13 18:07:36,P018,รองเท้าผ้าใบลายพราง,รองเท้า,2,1390,2780,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00005,CUS0001,2023-05-19 10:35:54,P003,เสื้อโปโล สีกรม,เสื้อโปโล,1,399,399,บัตรเครดิต,สาขาเชียงใหม่
TXN00001,CUS0001,2024-03-10 19:03:58,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,1,550,550,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00003,CUS0001,2024-07-09 10:52:36,P021,กระเป๋าเป้,กระเป๋า,3,1190,3570,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00004,CUS0001,2025-08-28 19:03:36,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,3,259,777,TrueMoney Wallet,ออนไลน์
TXN00008,CUS0002,2024-05-22 17:43:34,P021,กระเป๋าเป้,กระเป๋า,3,1190,3570,LINE Pay,สาขาเชียงใหม่
TXN00007,CUS0002,2025-04-28 11:35:45,P019,รองเท้าแตะ,รองเท้า,1,350,350,เงินสด,สาขาสยาม
TXN00010,CUS0003,2025-03-18 11:32:26,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,2,690,1380,บัตรเครดิต,สาขาเชียงใหม่
TXN00016,CUS0003,2025-05-02 17:03:13,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,1,1050,1050,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00013,CUS0003,2025-10-06 17:44:42,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,1,450,450,เงินสด,สาขาสยาม
TXN00014,CUS0003,2025-11-16 20:36:43,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,3,890,2670,LINE Pay,สาขาเชียงใหม่
TXN00012,CUS0003,2025-12-27 19:31:37,P010,กระโปรงยีนส์,กระโปรง,2,720,1440,LINE Pay,สาขาสยาม
TXN00015,CUS0003,2026-02-02 20:22:01,P023,หมวกบักเก็ต,หมวก,3,390,1170,LINE Pay,สาขาเชียงใหม่
TXN00011,CUS0003,2026-05-18 16:02:42,P012,เดรสสีพื้น แขนกุด,เดรส,1,750,750,เงินสด,สาขาเชียงใหม่
TXN00009,CUS0003,2026-08-14 14:33:31,P019,รองเท้าแตะ,รองเท้า,1,350,350,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00019,CUS0004,2024-12-18 11:11:09,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,1,790,790,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00017,CUS0004,2025-01-03 17:25:35,P013,แจ็คเก็ตยีนส์,แจ็คเก็ต,1,1290,1290,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00020,CUS0004,2025-11-25 19:11:16,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,1,850,850,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00018,CUS0004,2026-01-31 14:45:26,P030,สร้อยคอเงิน,แอคเซสซอรี่,2,690,1380,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00023,CUS0005,2026-05-27 10:12:04,P012,เดรสสีพื้น แขนกุด,เดรส,2,750,1500,บัตรเครดิต,ออนไลน์
TXN00022,CUS0005,2026-08-16 16:25:25,P018,รองเท้าผ้าใบลายพราง,รองเท้า,2,1390,2780,LINE Pay,สาขาสยาม
TXN00021,CUS0005,2026-08-19 15:08:44,P014,แจ็คเก็ตกันหนาว,แจ็คเก็ต,3,1590,4770,TrueMoney Wallet,สาขาสยาม
TXN00025,CUS0006,2023-07-12 11:55:13,P011,เดรสลายดอก,เดรส,2,890,1780,TrueMoney Wallet,ออนไลน์
TXN00024,CUS0006,2023-12-16 10:36:09,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,1,590,590,TrueMoney Wallet,สาขาสยาม
TXN00026,CUS0006,2024-10-18 15:38:23,P020,กระเป๋าสะพายข้าง,กระเป๋า,1,990,990,LINE Pay,สาขาสยาม
TXN00028,CUS0007,2025-10-28 21:16:30,P016,สเวตเตอร์ถักไหมพรม,สเวตเตอร์,3,850,2550,บัตรเครดิต,สาขาสยาม
TXN00027,CUS0007,2026-01-06 17:19:05,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,2,790,1580,บัตรเครดิต,สาขาสยาม
TXN00029,CUS0008,2024-11-18 18:19:41,P017,รองเท้าผ้าใบสีขาว,รองเท้า,3,1290,3870,เงินสด,สาขาเชียงใหม่
TXN00031,CUS0008,2025-06-07 19:51:50,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,3,550,1650,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00032,CUS0008,2025-06-11 13:33:31,P023,หมวกบักเก็ต,หมวก,2,390,780,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00030,CUS0008,2025-11-01 12:22:49,P012,เดรสสีพื้น แขนกุด,เดรส,3,750,2250,บัตรเครดิต,สาขาเชียงใหม่
TXN00033,CUS0009,2025-05-11 14:12:44,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,2,1050,2100,TrueMoney Wallet,สาขาเชียงใหม่
TXN00038,CUS0010,2023-11-25 10:09:37,P003,เสื้อโปโล สีกรม,เสื้อโปโล,1,399,399,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00041,CUS0010,2024-04-11 13:01:16,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,2,199,398,บัตรเครดิต,สาขาเชียงใหม่
TXN00034,CUS0010,2024-04-15 15:13:30,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,2,1050,2100,TrueMoney Wallet,สาขาสยาม
TXN00036,CUS0010,2024-04-21 17:56:11,P012,เดรสสีพื้น แขนกุด,เดรส,3,750,2250,LINE Pay,สาขาเชียงใหม่
TXN00035,CUS0010,2025-02-11 20:05:53,P024,เข็มขัดหนัง,เข็มขัด,2,490,980,เงินสด,ออนไลน์
TXN00037,CUS0010,2025-05-28 17:25:47,P028,กางเกงสแล็คทำงาน,กางเกงสแล็ค,1,790,790,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00040,CUS0010,2026-04-05 12:01:00,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,3,590,1770,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00039,CUS0010,2026-07-12 17:42:59,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,3,450,1350,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00048,CUS0011,2025-05-18 11:28:20,P014,แจ็คเก็ตกันหนาว,แจ็คเก็ต,3,1590,4770,TrueMoney Wallet,สาขาเซ็นทรัลเวิลด์
TXN00043,CUS0011,2025-08-31 18:09:33,P025,ถุงเท้าลายการ์ตูน (แพ็ค 3),ถุงเท้า,3,199,597,TrueMoney Wallet,สาขาสยาม
TXN00044,CUS0011,2025-10-24 19:00:49,P019,รองเท้าแตะ,รองเท้า,2,350,700,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00050,CUS0011,2026-01-10 18:57:12,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,3,259,777,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00047,CUS0011,2026-01-28 10:49:06,P018,รองเท้าผ้าใบลายพราง,รองเท้า,1,1390,1390,TrueMoney Wallet,ออนไลน์
TXN00049,CUS0011,2026-01-28 17:32:34,P005,เสื้อเชิ้ตแขนสั้น สีฟ้า,เสื้อเชิ้ต,3,550,1650,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00042,CUS0011,2026-04-17 17:42:37,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,3,450,1350,TrueMoney Wallet,ออนไลน์
TXN00045,CUS0011,2026-08-17 19:46:07,P011,เดรสลายดอก,เดรส,1,890,890,TrueMoney Wallet,สาขาสยาม
TXN00046,CUS0011,2026-08-27 11:56:35,P009,กระโปรงจีบ สีดำ,กระโปรง,2,690,1380,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00051,CUS0012,2023-10-09 13:42:19,P004,เสื้อเชิ้ตลายทาง,เสื้อเชิ้ต,2,590,1180,เงินสด,สาขาเซ็นทรัลเวิลด์
TXN00053,CUS0012,2023-11-21 16:56:31,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,1,690,690,บัตรเครดิต,สาขาเซ็นทรัลเวิลด์
TXN00057,CUS0012,2025-01-07 18:04:07,P008,กางเกงขาสั้นผ้าฝ้าย,กางเกงขาสั้น,3,450,1350,บัตรเครดิต,สาขาสยาม
TXN00055,CUS0012,2025-02-23 11:46:23,P003,เสื้อโปโล สีกรม,เสื้อโปโล,2,399,798,เงินสด,สาขาเชียงใหม่
TXN00052,CUS0012,2025-05-31 12:16:56,P013,แจ็คเก็ตยีนส์,แจ็คเก็ต,3,1290,3870,บัตรเครดิต,ออนไลน์
TXN00054,CUS0012,2025-10-12 18:25:21,P011,เดรสลายดอก,เดรส,1,890,890,LINE Pay,สาขาเซ็นทรัลเวิลด์
TXN00056,CUS0012,2025-12-07 17:45:01,P022,หมวกแก๊ป,หมวก,3,350,1050,LINE Pay,สาขาเชียงใหม่
TXN00058,CUS0013,2024-08-03 12:52:27,P009,กระโปรงจีบ สีดำ,กระโปรง,1,690,690,โอนเงิน/พร้อมเพย์,ออนไลน์
TXN00059,CUS0013,2026-01-30 18:36:31,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,1,259,259,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00064,CUS0014,2024-03-18 13:59:19,P014,แจ็คเก็ตกันหนาว,แจ็คเก็ต,1,1590,1590,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00061,CUS0014,2024-06-11 11:16:55,P026,ชุดออกกำลังกาย เซ็ต,ชุดกีฬา,3,1050,3150,เงินสด,ออนไลน์
TXN00060,CUS0014,2024-09-14 10:40:05,P002,เสื้อยืดคอกลม สีดำ,เสื้อยืด,1,259,259,โอนเงิน/พร้อมเพย์,สาขาสยาม
TXN00062,CUS0014,2025-02-05 18:26:59,P023,หมวกบักเก็ต,หมวก,1,390,390,โอนเงิน/พร้อมเพย์,สาขาเซ็นทรัลเวิลด์
TXN00063,CUS0014,2026-02-25 21:15:07,P006,กางเกงยีนส์ขาตรง,กางเกงยีนส์,1,890,890,บัตรเครดิต,สาขาเชียงใหม่
TXN00065,CUS0015,2026-03-16 14:02:00,P015,ฮู้ดดี้ สีเทา,ฮู้ดดี้,2,690,1380,เงินสด,สาขาเซ็นทรัลเวิลด์
